title,authors,year,doi,abstract,citation
[Drowning mortality in Catalonia (2019-2022)].,"",2024,N/A,"Data on drownings tend to underestimate mortality from this cause. The objective of this study was to describe fatal drownings recorded in Catalonia between 2019 and 2022 through forensic sources, present their characteristics, and assess the utility of this information for monitoring drowning mortality.",Unknown authors. [Drowning mortality in Catalonia (2019-2022)].. 2024.
Memory complaint in a middle-income country: a four-year longitudinal study in a cohort with low-education.,"",2024,10.1055/s-0044-1787138, Memory complaints are frequent in older adults and are associated with higher risk of cognitive decline.,Unknown authors. Memory complaint in a middle-income country: a four-year longitudinal study in a cohort with low-education.. 2024. DOI: 10.1055/s-0044-1787138
Social interaction-induced fear memory reduction: exploring the influence of dopamine and oxytocin receptors on memory updating.,"",2024,10.1038/s41398-024-02955-3,"It has been well established that a consolidated memory can be updated during the plastic state induced by reactivation. This updating process opens the possibility to modify maladaptive memory. In the present study, we evaluated whether fear memory could be updated to less-aversive level by incorporating hedonic information during reactivation. Thus, male rats were fear conditioned and, during retrieval, a female was presented as a social rewarding stimulus. We found that memory reactivation with a female (but not a male) reduces fear expression within-session and in the test, without presenting reinstatement or spontaneous recovery. Interestingly, this intervention impaired extinction. Finally, we demonstrated that this emotional remodeling to eliminate fear expression requires the activation of dopamine and oxytocin receptors during retrieval. Hence, these results shed new lights on the memory updating process and suggests that the exposure to natural rewarding information such as a female during retrieval reduces a previously consolidated fear memory.",Unknown authors. Social interaction-induced fear memory reduction: exploring the influence of dopamine and oxytocin receptors on memory updating.. 2024. DOI: 10.1038/s41398-024-02955-3
Automated free speech analysis reveals distinct markers of Alzheimer's and frontotemporal dementia.,"",2024,10.1371/journal.pone.0304272,"Dementia can disrupt how people experience and describe events as well as their own role in them. Alzheimer's disease (AD) compromises the processing of entities expressed by nouns, while behavioral variant frontotemporal dementia (bvFTD) entails a depersonalized perspective with increased third-person references. Yet, no study has examined whether these patterns can be captured in connected speech via natural language processing tools. To tackle such gaps, we asked 96 participants (32 AD patients, 32 bvFTD patients, 32 healthy controls) to narrate a typical day of their lives and calculated the proportion of nouns, verbs, and first- or third-person markers (via part-of-speech and morphological tagging). We also extracted objective properties (frequency, phonological neighborhood, length, semantic variability) from each content word. In our main study (with 21 AD patients, 21 bvFTD patients, and 21 healthy controls), we used inferential statistics and machine learning for group-level and subject-level discrimination. The above linguistic features were correlated with patients' scores in tests of general cognitive status and executive functions. We found that, compared with HCs, (i) AD (but not bvFTD) patients produced significantly fewer nouns, (ii) bvFTD (but not AD) patients used significantly more third-person markers, and (iii) both patient groups produced more frequent words. Machine learning analyses showed that these features identified individuals with AD and bvFTD (AUC = 0.71). A generalizability test, with a model trained on the entire main study sample and tested on hold-out samples (11 AD patients, 11 bvFTD patients, 11 healthy controls), showed even better performance, with AUCs of 0.76 and 0.83 for AD and bvFTD, respectively. No linguistic feature was significantly correlated with cognitive test scores in either patient group. These results suggest that specific cognitive traits of each disorder can be captured automatically in connected speech, favoring interpretability for enhanced syndrome characterization, diagnosis, and monitoring.",Unknown authors. Automated free speech analysis reveals distinct markers of Alzheimer's and frontotemporal dementia.. 2024. DOI: 10.1371/journal.pone.0304272
Social determinants of health but not global genetic ancestry predict dementia prevalence in Latin America.,"",2024,10.1002/alz.14041,"Leveraging the nonmonolithic structure of Latin America, which represents a large variability in social determinants of health (SDoH) and high levels of genetic admixture, we aim to evaluate the relative contributions of SDoH and genetic ancestry in predicting dementia prevalence in Latin American populations.",Unknown authors. Social determinants of health but not global genetic ancestry predict dementia prevalence in Latin America.. 2024. DOI: 10.1002/alz.14041
Memory changes in patients with hippocampal sclerosis submitted to surgery to treat mesial temporal lobe epilepsy.,"",2024,10.1016/j.nrleng.2021.07.007,"This study was performed with the purpose of analysing the relationship between epileptological and surgical variables and post-operative memory performance, following surgery for refractory mesial temporal lobe epilepsy (MTLE) due to hippocampal sclerosis (HS).",Unknown authors. Memory changes in patients with hippocampal sclerosis submitted to surgery to treat mesial temporal lobe epilepsy.. 2024. DOI: 10.1016/j.nrleng.2021.07.007
Presence of micronuclei and nuclear abnormalities in ,"",2024,10.1080/15287394.2024.2361247,The aviation sector is believed to be responsible for considerable environmental damage attributed to emission of a large number and amount of pollutants. Airports are often surrounded by forest fragments and humid areas that attract birds of prey and hence may potentially serve as useful bioindicators. The aim of the present study was to examine genotoxic potential in raptors exposed to airport pollution using the micronucleus (MN) test and morphological changes as evidenced by bilateral symmetry. This investigation was conducted at Salgado Filho International Airport of Porto Alegre - RS as well as in private and zoological breeding grounds. The presence of metals was measured in the blood cells of the collected birds. Seventeen birds (,Unknown authors. Presence of micronuclei and nuclear abnormalities in . 2024. DOI: 10.1080/15287394.2024.2361247
Memory and language risk assessment with Wada test in patients candidates for epilepsy surgery.,"",2024,10.33588/rn.7811.2024029,To determine post-surgical cognitive risk and associated factors according to lesion location in a sample of patients evaluated for epilepsy surgery with Wada test at the Fundacion Instituto Neurologico de Colombia.,Unknown authors. Memory and language risk assessment with Wada test in patients candidates for epilepsy surgery.. 2024. DOI: 10.33588/rn.7811.2024029
Youth-like brain activation linked with greater cognitive training gains in older adults: Insights from the ACTOP study.,"",2024,10.1016/j.cortex.2024.04.013,"This study investigates the relationship between inter-individual neurofunctional differences in older adults and cognitive training efficacy, with a specific focus on the association between youth-like task-related brain activation and improvements in working memory (WM) training. The data is part of the Attentional Control Training for Older People (ACTOP) study, 30 older adults completed 12 half-hour WM training sessions. The WM performance slope, assessed at the conclusion of sessions 1 through 6 and sessions 7 to 12, determined early- and late-stage training gains, respectively. Transfer measures were taken before (PRE), midway (MID), and after (POST) training, and the differences in MID-PRE and POST-MID on transfer tasks were used to determine early- and late-stage transfer effects, respectively. The Goodness of Fit (GOF) metric was used to quantify the similarity between each older adult's activation pattern, as measured with functional magnetic resonance imaging (fMRI), to that of a group of younger adults. GOF scores were calculated for activation during low-load (1-0back) and high-load (2-0back) N-back tasks. The results indicated that larger GOF scores in the low-load condition were associated with greater training gains in both the early and late learning stages, and that larger GOF scores in the high-load condition were associated with greater training gains during the late-stage. These findings suggest that a youth-like brain activation pattern in older adults is associated with greater cognitive training benefits, underscoring the role of inter-individual neurofunctional differences to account for variations in training outcomes among older adults. TRIAL REGISTRATION: ClinicalTrials.gov NCT03532113; https://clinicaltrials.gov/ct2/show/NCT03532113.",Unknown authors. Youth-like brain activation linked with greater cognitive training gains in older adults: Insights from the ACTOP study.. 2024. DOI: 10.1016/j.cortex.2024.04.013
Medicolegal assessment of human trafficking victims. Descriptive study of a series of forensic cases in Catalonia (Spain).,"",2024,10.1016/j.medcli.2024.04.001,"Human trafficking or contemporary slavery is the recruitment and transfer of people by force or deception for sexual, labour or other types of exploitation. Although the violence, abuse and deprivation that trafficking entails are a threat to the health of its victims, in Spain the clinical or forensic data available in this regard is scarce. At the Institute of Legal Medicine and Forensic Sciences of Catalonia (IMLCFC), a unit specialized in the forensic assessment of these victims was created. The objective of this work was to describe a series of forensic cases of trafficking victims.",Unknown authors. Medicolegal assessment of human trafficking victims. Descriptive study of a series of forensic cases in Catalonia (Spain).. 2024. DOI: 10.1016/j.medcli.2024.04.001
